ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
5113,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Kunststoff/-folie,2023-05-23,5
5114,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Italien,Unverarbeitet/roh,Kunststoff/-folie,2023-04-12,4
5115,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Kunststoff/-folie,2023-02-13,2
5116,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Korea, Demokratische Volksrepublik",Keine Angabe,Kunststoff/-folie,2023-03-06,3
5117,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Belgien,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-02-14,2
5118,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-03-06,3
5119,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Keine Angabe,2023-02-01,2
5120,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittellager Zentrallager,Ungeklärt,Keine Angabe,Keine Angabe,2023-01-18,1
5121,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Keine Angabe,2023-08-15,8
5122,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Getränkeabholmarkt,Jordanien,Keine Angabe,Kombinationsverpackung aus Pappe und Folie,2023-01-17,1
5124,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-03-14,3
5125,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-02-13,2
5126,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Tierkörper ganzer Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Tiefgekühlt/tiefgefroren,Keine Angabe,2023-01-25,1
5127,0,Monitoring-Projektprobe,Käse,Grana Padano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-09-06,9
5128,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-07-10,7
5129,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Aprikose getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Geschwefelt,Keine Angabe,2023-08-09,8
5130,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unbehandelt,Polyethylen,2023-02-08,2
5132,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Großhändler von Obst und Gemüse und -erzeugnissen,Spanien,Unverarbeitet/roh,Verpackt,2023-02-14,2
5133,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittellager Zentrallager,Ungeklärt,Gemahlen/geschrotet,Keine Angabe,2023-08-22,8
5134,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-21,2
5135,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittellager Zentrallager,Spanien,Keine Angabe,Keine Angabe,2023-05-24,5
5136,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ägypten,Unverarbeitet/roh,Gewebe-/Textilmaterial,2023-03-28,3
5138,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Filet Lamm/Schaf auch tiefgefroren,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Neuseeland,Unverarbeitet/roh,Kunststoff/-folie,2023-04-12,4
5139,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Reformhaus/Naturkostladen,Türkei,Keine Angabe,Keine Angabe,2023-11-03,11
5140,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Korea, Republik",Küchenfertig vor-/zubereitet,Kunststoff/-folie,2023-06-27,6
5141,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Aprikose getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Türkei,Geschwefelt,Kombinationsverpackung aus Pappe und Folie,2023-04-24,4
5143,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Getrocknet,Kunststoff/-folie,2023-06-28,6
5144,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-08-28,8
5145,0,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Grüne Bohne tiefgefroren,Lebensmittellager Zentrallager,Ungeklärt,Keine Angabe,Keine Angabe,2023-05-09,5
5146,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Kirsche getrocknet,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-03-30,3
5147,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Keine Angabe,Kunststoff/-folie,2023-09-19,9
5148,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel mehlig kochend,Erzeuger von Lebensmitteln pflanzlicher Herkunft,Deutschland,Keine Angabe,Keine Angabe,2023-02-03,2
