ProbenNrPseud,Target_Adverse,PnMgT,MatrixGrT,MatrixT,BetriebsartT,Country_Feature,Processing_Feature,Packaging_Feature,Sampling_Date,Sampling_Month
2819,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Israel,Geröstet,Kunststoff/-folie,2023-04-12,4
2820,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-04-25,4
2822,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Großhändler Importeure und Exporteure von Lebensmitteln,"Indien, einschl. Sikkim und Goa",Keine Angabe,Keine Angabe,2023-09-27,9
2824,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Zerkleinert,Papier,2023-01-04,1
2825,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-08-15,8
2826,1,Monitoring-Planprobe,Gemüseerzeugn. und Gemüsezuber. ausgen. Rhabarber u. 200700 u. 201700,Rotalge; Nori; Seegras (Porphyra ssp.) getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Korea, Republik",Keine Angabe,Kunststoff/-folie,2023-03-14,3
2828,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-09-04,9
2829,0,EG(KKP)- und Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung PRE,Großhändler für Lebensmitteleinzelhandel (Vollsortiment),Ohne Angabe,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Verpackt unter Schutzgas,2023-06-13,6
2830,0,Monitoring-Planprobe,Getreide,Roggenkörner,Reformhaus/Naturkostladen,Deutschland,Gereinigt,Papier,2023-06-05,6
2831,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Drogerie/Parfümerie,Kasachstan,Unverarbeitet/roh,Kunststoff/-folie,2023-01-10,1
2832,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-02-14,2
2833,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Algerien,Entsteint/entstielt,Kunststoff/-folie,2023-10-30,10
2834,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachthof/Schlachtbetrieb,Deutschland,Unverarbeitet/roh,Kunststoffverbundfolie,2023-07-19,7
2835,0,Monitoring-Planprobe,Getreide,Basmatireis,Drogerie/Parfümerie,"Indien, einschl. Sikkim und Goa",Ungeschält,Kunststoff/-folie,2023-01-31,1
2836,0,EG(KKP)- und Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Keine Angabe,2023-10-23,10
2837,0,Monitoring-Planprobe,Fischerzeugnisse,Schlankwels auch Stücke küchenmäss. vorber. auch tiefgefr.,Einzelhändler,Vietnam,Tiefgekühlt/tiefgefroren,Keine Angabe,2023-05-24,5
2838,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Kunststoff/-folie,2023-03-29,3
2839,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmitteleinzelhandel,Ohne Angabe,Getrocknet,Kunststoff/-folie,2023-11-22,11
2840,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-04-26,4
2841,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Gereinigt,Papier,2023-10-11,10
2842,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Filet Lamm/Schaf auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Missing,Verpackt,2023-01-10,1
2843,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Erzeuger von Lebensmitteln pflanzlicher Herkunft,Deutschland,Keine Angabe,Keine Angabe,2023-09-19,9
2844,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachthof/Schlachtbetrieb,Deutschland,Unverarbeitet/roh,Unverpackt,2023-06-01,6
2845,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Venezuela,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-06-07,6
2846,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Süßkirsche,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Türkei,Unverarbeitet/roh,Unverpackt,2023-07-24,7
2847,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-09-12,9
2848,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Zitrone,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-01-23,1
2849,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel mehlig kochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-08-29,8
2850,0,Monitoring-Planprobe,Fischerzeugnisse,Schlankwels auch Stücke küchenmäss. vorber. auch tiefgefr.,Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Vietnam,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-07-12,7
2851,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Keine Angabe,Keine Angabe,2023-10-11,10
2852,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Unverpackt,2023-06-05,6
2853,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Bäckerei,Deutschland,Keine Angabe,Kunststoff/-folie,2023-02-07,2
2854,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-06-13,6
2855,1,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Vietnam,Gemahlen/geschrotet,Polyethylen,2023-06-13,6
2856,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Ungeschält,Verpackt,2023-11-06,11
2857,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Drogerie/Parfümerie,Deutschland,Gemahlen/geschrotet,Papier,2023-08-10,8
2858,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tunesien,Getrocknet,Kombinationsverpackung aus Pappe und Folie,2023-11-03,11
2859,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Unverpackt,2023-11-22,11
2860,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-08-16,8
2861,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Dattel getrocknet,Hersteller und Abpacker,Tunesien,Entsteint/entstielt,Kunststoff/-folie,2023-02-09,2
2862,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Metzgereifiliale Fleischereifiliale und (eigenständige) -verkaufsabteilung,Deutschland,Keine Angabe,Keine Angabe,2023-07-11,7
2863,0,Monitoring-Projektprobe,Käse,Grana Padano Hartkäse andere,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Italien,Keine Angabe,Keine Angabe,2023-09-25,9
2864,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-02-08,2
2866,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Weizenmehl Type 405,Hersteller und Abpacker,Deutschland,Keine Angabe,Kunststoff/-folie,2023-07-17,7
2867,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Keine Angabe,2023-05-24,5
2868,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Südafrika,Unverarbeitet/roh,Gewebe aus Kunstfaser,2023-09-26,9
2870,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Papier,2023-02-08,2
2871,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Keine Angabe,Keine Angabe,2023-03-07,3
2873,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Kunststoff/-folie,2023-01-09,1
2874,0,Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel vorwiegend festkochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-03-02,3
2877,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Obst- und Gemüseeinzelhandel und (eigenständige) -verkaufsabteilung,Deutschland,Unverarbeitet/roh,Unverpackt,2023-09-13,9
2878,0,Monitoring-Planprobe,Gewürze,Pfeffer schwarz Fruchtgewürz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Unbekanntes Ausland,Gemahlen/geschrotet,Kunststoff/-folie,2023-01-23,1
2879,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Kunststoff/-folie,2023-08-15,8
2880,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Unverarbeitet/roh,Kunststoff/-folie,2023-03-06,3
2881,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-04-17,4
2882,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Fleischerei/Metzgerei ohne Schlachthaus,Deutschland,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-04-18,4
2883,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Einzelhändler,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-05-10,5
2884,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Mohrrübe; Karotte; Möhre,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-08-08,8
2885,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Unverarbeitet/roh,Kunststoff/-folie,2023-01-10,1
2886,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Wildsammelstelle/Wildkammer,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-11,10
2887,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Wild- und Geflügeleinzelhandel und (eigenständige) -verkaufabteilung,Deutschland,Tiefgekühlt/tiefgefroren,Kunststoff/-folie,2023-11-23,11
2888,0,EG(KKP)- und Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung PRE,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Verzehrsfertig/tischfertig vor-/zubereitet,Keine Angabe,2023-02-20,2
2890,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Mandarine,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Keine Angabe,Unverpackt,2023-01-17,1
2891,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel festkochend (Salatware),Direktvermarkter/Verkaufsstelle Obst und Gemüse,Deutschland,Keine Angabe,Kunststoff/-folie,2023-01-25,1
2892,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn gemahlen,Lebensmittellager Zentrallager,Ungarn,Gemahlen/geschrotet,Unverpackt,2023-04-28,4
2893,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Endivie,Reformhaus/Naturkostladen,Deutschland,Keine Angabe,Keine Angabe,2023-10-25,10
2894,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Wildsammelstelle/Wildkammer,Deutschland,Unverarbeitet/roh,Keine Angabe,2023-11-14,11
2896,0,Monitoring-Planprobe,Krusten- Schalen- Weichtiere sonstige Tiere u. Erzeugnisse daraus,Prawns (Aristeomorpha sp.),Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Frankreich, einschl. Korsika",Keine Angabe,Keine Angabe,2023-09-20,9
2897,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn gemahlen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Österreich,Gemahlen/geschrotet,Verpackt,2023-02-09,2
2900,0,Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Neuseeland,Unverarbeitet/roh,Unverpackt,2023-06-09,6
2901,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Marktstand,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-06-12,6
2902,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelvollkornmehl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Keine Angabe,Papier,2023-02-27,2
2903,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Mühlenbetrieb,Deutschland,Keine Angabe,Kunststoff/-folie,2023-03-07,3
2904,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Unverarbeitet/roh,Verpackt,2023-10-30,10
2905,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-04-17,4
2906,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Polen,Unverarbeitet/roh,Verpackt unter Vakuum,2023-04-27,4
2907,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel vorwiegend festkochend,Milcherzeuger,Deutschland,Unverarbeitet/roh,Unverpackt,2023-11-06,11
2908,0,Monitoring-Projektprobe,Milch,Milch ultrahocherhitzt teilentrahmt,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Erhitzt/hitzebehandelt,Verpackt,2023-04-18,4
2909,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen,Bäckerei,Ungeklärt,Keine Angabe,Kunststoff/-folie,2023-04-17,4
2910,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Dinkelmehl Type 630,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gemahlen/geschrotet,Papier,2023-01-09,1
2911,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Direktvermarkter Wildfleisch,Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-10-23,10
2912,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Großhändler von Obst und Gemüse und -erzeugnissen,Deutschland,Keine Angabe,Keine Angabe,2023-07-19,7
2913,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Fleischerei/Metzgerei mit Schlachthaus,Deutschland,Keine Angabe,Keine Angabe,2023-09-05,9
2914,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Portugal,Keine Angabe,Karton/Pappe,2023-01-10,1
2915,0,Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsmilchnahrung,Drogerie/Parfümerie,Deutschland,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Kunststoff/-folie,2023-07-04,7
2916,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Erdnuss geröstet mit Schale,Lebensmittellager Zentrallager,Israel,Geröstet,Kunststoff/-folie,2023-11-14,11
2917,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Mohn,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-09-13,9
2918,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Leinsamen aufgebrochen/geschrotet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Gemahlen/geschrotet,Kunststoff/-folie,2023-01-10,1
2919,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),"Indien, einschl. Sikkim und Goa",Gereinigt,Kunststoff/-folie,2023-10-17,10
2920,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Tierkörper ganzer Ente auch tiefgefroren,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Tschechische Republik,Unverarbeitet/roh,Verpackt,2023-04-17,4
2922,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Birne,Großhändler von Obst und Gemüse und -erzeugnissen,Ungeklärt,Keine Angabe,Keine Angabe,2023-09-11,9
2923,0,EG(KKP)- und Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne schwarz,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Keine Angabe,Kunststoff/-folie,2023-09-11,9
2924,0,Monitoring-Projektprobe,Käse,Grana Padano Hartkäse andere,Einzelhändler,Deutschland,Keine Angabe,Keine Angabe,2023-06-28,6
2927,0,Monitoring-Planprobe,Getreideprodukte Backvormischungen Brotteige Massen und Teige für,Roggenvollkornmehl,Mühlenbetrieb,Deutschland,Keine Angabe,Papier,2023-05-23,5
2929,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Kürbis,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-10-24,10
2930,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Unverarbeitet/roh,Kunststoff/-folie,2023-08-15,8
2931,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Bohne grüne,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Marokko,Unverarbeitet/roh,Kunststoff/-folie,2023-07-31,7
2932,0,EG(KKP)- und Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Einzelhändler,Niederlande,Zerkleinert,Keine Angabe,2023-03-21,3
2933,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstücke Lamm/Schaf auch tiefgefroren,Einzelhändler,Ohne Angabe,Tiefgekühlt/tiefgefroren,Keine Angabe,2023-02-08,2
2934,0,Monitoring-Planprobe,Säuglings- und Kleinkindernahrungen,Säuglingsanfangsnahrung PRE auf Proteinhydrolysatbasis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Getrocknet | Verzehrsfertig/tischfertig vor-/zubereitet,Kunststoff/-folie,2023-07-11,7
2935,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Blumenkohl,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Unverarbeitet/roh,Unverpackt,2023-10-25,10
2936,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Leber Rind auch tiefgefroren,Schlachthof/Schlachtbetrieb,Deutschland,Keine Angabe,Keine Angabe,2023-05-03,5
2937,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Kunststoff/-folie,2023-01-17,1
2939,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Gewebe aus Kunstfaser,2023-04-17,4
2940,0,EG(KKP)- und Monitoring-Planprobe,Frischobst einschließlich Rhabarber,Kiwi,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Chile,Unverarbeitet/roh,Kunststoff/-folie,2023-08-08,8
2943,0,Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Gurke,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Niederlande,Unverarbeitet/roh,Kunststoff/-folie,2023-04-18,4
2944,0,Monitoring-Planprobe,Biere bierähnliche Getränke und Rohstoffe für die Bierherstellung,Vollbier hell Export untergärig,Getränkeabholmarkt,Deutschland,Gegoren/fermentiert,Glas,2023-05-25,5
2945,0,Monitoring-Planprobe,Fleisch warmblütiger Tiere auch tiefgefroren,Fleischteilstück Wildschwein auch tiefgefroren,Fleischerei/Metzgerei ohne Schlachthaus,Deutschland,Unverarbeitet/roh,Verpackt,2023-09-19,9
2946,0,Monitoring-Projektprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Pflaume getrocknet,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Keine Angabe,Verbundmaterial,2023-02-07,2
2947,0,Monitoring-Planprobe,Hülsenfrüchte Ölsamen Schalenobst,Bohne weiß,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ungeklärt,Getrocknet,Kunststoff/-folie,2023-02-08,2
2948,0,Monitoring-Planprobe,Getreide,Langkornreis,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Ohne Angabe,Gereinigt,Verpackt,2023-06-27,6
2949,0,Monitoring-Planprobe,Obstprodukte ausgenommen 310000 und 410000 einschl. Rhabarber,Johannisbeere rot tiefgefroren,Brotfabrik/Großbäckerei,Ohne Angabe,Keine Angabe,Kunststoff/-folie,2023-02-23,2
2950,0,EG(KKP)- und Monitoring-Planprobe,Frischgemüse ausgenommen Rhabarber,Zwiebel,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Spanien,Unverarbeitet/roh,Unverpackt,2023-09-05,9
2951,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel vorwiegend festkochend,Lebensmittellager Zentrallager,Deutschland,Keine Angabe,Keine Angabe,2023-02-14,2
2952,0,EG(KKP)- und Monitoring-Planprobe,Kartoffeln und stärkereiche Pflanzenteile,Kartoffel mehlig kochend,Lebensmittelgeschäft und (eigenständige) -verkaufsabteilung (incl. Supermarkt),Deutschland,Keine Angabe,Keine Angabe,2023-05-02,5
